"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
29140-00002,5·18 기념,근린공원,광주광역시 서구 내방로 152 (쌍촌동),광주광역시 서구 쌍촌동 1268,35.15830455,126.8575556,20985.6,6,7,177,4,137,1994-11-12,광주광역시,062-613-7905,2020-07-21
29140-00003,시민,근린공원,광주광역시 서구 상무민주로 61 (쌍촌동),광주광역시 서구 치평동1162,35.1557495,126.8585829,170384.9,8,3,157,6,429,1994-11-12,광주광역시 서구,062-360-7512,2020-07-21
29140-00004,마재,근린공원,광주광역시 서구 상무자유로 73 (치평동),광주광역시 서구 금호동 789,35.1522176,126.8422192,18267.3,2,4,48,3,18,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00005,신암,근린공원,광주광역시 서구 상무공원로 101 (치평동),광주광역시 서구 풍암동 1126,35.15339511,126.8410975,11417.7,3,0,39,0,20,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00006,풍암,근린공원,광주광역시 서구 상무자유로 59 (치평동),광주광역시 서구 풍암동 1065,35.15343095,126.8409306,14344.9,0,0,9,0,0,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00007,상무2지구근린1,근린공원,,광주광역시 서구 유촌동 840-2,35.1307905,126.8602629,5756,0,0,25,0,7,1996-05-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00008,상무2지구근린2,근린공원,광주광역시 서구 풍암2로 26 (풍암동),광주광역시 서구 쌍촌동 1313-1,35.1248232,126.8791752535,8451.8,0,0,36,0,17,1996-05-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00009,상무2지구근린3,근린공원,,광주광역시 서구 쌍촌동 1337-1,35.161629,126.861471,9997.5,1,0,18,0,11,1996-05-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00010,상무2지구근린4,근린공원,,광주광역시 서구 쌍촌동 1339,35.152035,126.863733,1462,0,0,9,0,0,1996-05-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00011,상무4지구근린1,근린공원,,광주광역시 서구 유촌동 869,35.162781,126.859732,25250.5,9,22,89,0,33,1996-06-29,광주광역시 서구,062-360-7512,2020-07-21
29140-00012,상록,근린공원,,광주광역시 서구 농성동311-1,35.1556445323,126.8886003310,18128,1,0,69,2,7,2003-11-15,광주광역시,062-613-4233,2020-07-21
29140-00013,평화,근린공원,,광주광역시 서구 치평동 1204,35.1565487682,126.8516012896,24178,8,0,56,1,97,2010-03-15,광주광역시,062-613-4233,2020-07-21
29140-00014,죽림,근린공원,,광주광역시 서구 동천동 508,35.1682265,126.8573846,10137.5,4,0,35,0,74,2001-11-24,광주광역시 서구,062-360-7512,2020-07-21
29140-00015,유적,근린공원,광주광역시 서구 상무대로 1165 (농성동),광주광역시 서구 동천동 660,35.1549454,126.8884407763,100268,2,8,31,0,50,2001-11-24,광주광역시 서구,062-360-7512,2020-07-21
29140-00016,천변,수변공원,광주광역시 서구 상무대로1171번길 15 (농성동),광주광역시 서구 양동 346,35.15564381,126.8886023,424420,1,0,4,0,13,1975-02-18,광주광역시 서구,062-360-7512,2020-07-21
29140-00017,상무,수변공원,광주광역시 서구 내방로 102 (치평동),광주광역시 서구 쌍촌동 869-9,35.1565487682,126.8516012896,74020,0,0,1,4,1,1967-02-20,광주광역시 서구,062-360-7512,2020-07-21
29140-00018,전평제,수변공원,,광주광역시 서구 매월동 519-1,35.116032,126.848302,44000,1,1,43,1,19,1906-07-14,광주광역시 서구,062-360-7512,2020-07-21
29140-00019,농성,어린이공원,,광주광역시 서구 농성동 669-3,35.148223,126.887055,2100,7,2,12,0,5,1970-02-05,광주광역시 서구,062-360-7512,2020-07-21
29140-00020,내방,어린이공원,,광주광역시 서구 내방동 837,35.153199,126.8724946797,30200,1,3,22,0,0,1970-02-05,광주광역시 서구,062-360-7512,2020-07-21
29140-00021,쌍촌,어린이공원,,광주광역시 서구 쌍촌동 967,35.1515643,126.8601442063,1500,2,5,2,0,0,1970-02-05,광주광역시 서구,062-360-7512,2020-07-21
29140-00022,꿈마당,어린이공원,,광주광역시 서구 화정동 892,35.1408466557,126.8769865421,1500,6,3,8,0,1,1983-12-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00023,염주,어린이공원,광주광역시 서구 화정로276번길 5 (농성동),광주광역시 서구 화정동 895,35.1482234,126.8870553,1500,5,0,12,0,4,1983-12-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00024,콩콩,어린이공원,광주광역시 서구 상무대로1005번길 12-5 (내방동),광주광역시 서구 화정동 891,35.153199,126.8724946797,1500,3,4,4,0,7,1983-12-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00025,효행,어린이공원,광주광역시 서구 상무민주로6번길 17 (쌍촌동),광주광역시 서구 화정동 802,35.1515643,126.8601442063,1500,2,2,8,0,1,1983-12-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00026,화방,어린이공원,,광주광역시 서구 화정동 894,35.140983,126.874497,1500,8,0,2,0,1,1983-12-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00001,염주,근린공원,광주광역시 서구 염화로134번길 18 (화정동),광주광역시 서구 화정동 843,35.141574,126.879283,10400,3,1,6,0,1,1982-03-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00027,주동,어린이공원,,광주광역시 서구 화정동 1081,35.140945,126.884679,1610,5,1,8,0,0,1986-06-04,광주광역시 서구,062-360-7512,2020-07-21
29140-00028,쌍학,어린이공원,광주광역시 서구 월드컵4강로68번길 17 (화정동),광주광역시 서구 쌍촌동 1205,35.1433475,126.8764629,8920,19,6,43,1,1,1987-12-21,광주광역시 서구,062-360-7512,2020-07-21
29140-00029,효광,어린이공원,,광주광역시 서구 쌍촌동 1213,35.14600926,126.8631693,2317.9,5,3,11,0,9,1987-12-21,광주광역시 서구,062-360-7512,2020-07-21
29140-00030,맛고을,어린이공원,,광주광역시 서구 화정동 914-1,35.14286812,126.8723439,2912,2,6,17,0,0,1990-09-12,광주광역시 서구,062-360-7512,2020-07-21
29140-00031,백일,어린이공원,,광주광역시 서구 화정동 903-1,35.143864,126.867287,1500,0,5,11,0,0,1990-12-06,광주광역시 서구,062-360-7512,2020-07-21
29140-00032,새싹,어린이공원,광주광역시 서구 화정로85번길 26 (쌍촌동),광주광역시 서구 쌍촌동 1233-11,35.1471484,126.8666699,1650,1,4,14,0,0,1990-12-06,광주광역시 서구,062-360-7512,2020-07-21
29140-00033,우정,어린이공원,,광주광역시 서구 화정동 929-2,35.13748091,126.8717159,3317,3,6,20,0,0,1990-09-19,광주광역시 서구,062-360-7512,2020-07-21
29140-00034,믿음,어린이공원,,광주광역시 서구 쌍촌동 1236-1,35.14506561,126.860862,1500,2,1,10,0,0,1990-09-19,광주광역시 서구,062-360-7512,2020-07-21
29140-00035,반달,어린이공원,,광주광역시 서구 금호동 741-2,35.136461,126.857432,2654.2,4,6,8,0,0,1990-09-19,광주광역시 서구,062-360-7512,2020-07-21
29140-00036,사랑,어린이공원,,광주광역시 서구 쌍촌동 1258-3,35.141211,126.8605174,1815.9,3,2,7,0,0,1990-09-19,광주광역시 서구,062-360-7512,2020-07-21
29140-00037,소망,어린이공원,,광주광역시 서구 쌍촌동 1246-2,35.14344799,126.8587973,1510.5,3,3,7,0,0,1991-09-19,광주광역시 서구,062-360-7512,2020-07-21
29140-00038,푸름,어린이공원,,광주광역시 서구 금호동 743-1,35.13720954,126.8610334,3745.4,1,6,7,0,0,1991-09-19,광주광역시 서구,062-360-7512,2020-07-21
29140-00039,해님,어린이공원,광주광역시 서구 금호운천길 10 (금호동),광주광역시 서구 금호동 721-1,35.1408017953,126.8575875212,1638,3,5,6,0,0,1991-09-19,광주광역시 서구,062-360-7512,2020-07-21
29140-00040,농성공단,어린이공원,,광주광역시 서구 농성동 417-8,35.160056,126.884847,2084,1,0,9,0,0,1992-08-06,광주광역시 서구,062-360-7512,2020-07-21
29140-00041,풍암,어린이공원,,광주광역시 서구 풍암동 30-2,35.118332,126.867899,1708,6,2,14,0,3,1992-08-06,광주광역시 서구,062-360-7512,2020-07-21
29140-00042,느티나무,어린이공원,,광주광역시 서구 치평동 1192,35.159801,126.846567,1519,6,2,9,0,13,1994-11-12,광주광역시 서구,062-360-7512,2020-07-21
29140-00043,무지개,어린이공원,,광주광역시 서구 쌍촌동 1302-2,35.1531982735,126.8598077472,2716,0,1,9,0,2,1994-11-12,광주광역시 서구,062-360-7512,2020-07-21
29140-00044,오월,어린이공원,,광주광역시 서구 쌍촌동 1288-2,35.15587992,126.862207,2057.1,0,2,15,0,5,1994-11-12,광주광역시 서구,062-360-7512,2020-07-21
29140-00045,운천,어린이공원,,광주광역시 서구 치평동 1168-3,35.1532976325,126.8465895070,2794.1,5,4,7,0,1,1994-11-12,광주광역시 서구,062-360-7512,2020-07-21
29140-00046,장수,어린이공원,,광주광역시 서구 치평동 1166-10,35.15714776,126.8433994,8084.1,11,5,8,0,1,1994-11-12,광주광역시 서구,062-360-7512,2020-07-21
29140-00047,치평,어린이공원,광주광역시 서구 상무민주로6번길 27 (쌍촌동),광주광역시 서구 치평동 1171-9,35.1531982735,126.8598077472,4416.3,11,7,10,0,1,1994-11-12,광주광역시 서구,062-360-7512,2020-07-21
29140-00048,해오리,어린이공원,,광주광역시 서구 치평동 1174-1,35.1465485,126.8439597,3551.5,7,2,5,0,12,1994-11-12,광주광역시 서구,062-360-7512,2020-07-21
29140-00049,개나리,어린이공원,,광주광역시 서구 풍암동 1056,35.120501,126.877528,3837.4,4,2,3,0,11,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00050,금당,어린이공원,,광주광역시 서구 풍암동 1165,35.127677,126.883968,3277.8,9,2,12,0,13,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00051,금호,어린이공원,,광주광역시 서구 금호동 811,35.129224,126.857342,3608.9,1,9,17,1,16,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00052,달맞이,어린이공원,,광주광역시 서구 금호동 833,35.123794,126.859225,1631.2,4,1,14,0,7,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00053,당산,어린이공원,,광주광역시 서구 풍암동 1129,35.123995,126.881616,4728.1,5,5,14,0,3,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00054,살구,어린이공원,,광주광역시 서구 풍암동 1062,35.121028,126.882554,2191,0,1,7,0,8,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00055,새롬,어린이공원,,광주광역시 서구 풍암동 1008,35.122905,126.868453,3090.1,6,4,4,0,4,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00056,운리,어린이공원,광주광역시 서구 풍암운리로 7번길 5 (풍암동),광주광역시 서구 풍암동 947,35.1228893147,126.8647789770,8548.7,2,7,15,1,26,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00057,희망,어린이공원,,광주광역시 서구 풍암동 1052,35.123787,126.876195,2207,6,3,13,0,1,1995-06-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00058,금부,어린이공원,,광주광역시 서구 금호동 749,35.13463818,126.857329,1464,0,4,15,0,4,1996-01-20,광주광역시 서구,062-360-7512,2020-07-21
29140-00059,풍금,어린이공원,,광주광역시 서구 금호동 771-1,35.13311005,126.8609482,5414,6,3,10,0,0,1996-01-20,광주광역시 서구,062-360-7512,2020-07-21
29140-00060,상일,어린이공원,광주광역시 서구 풍암운리로7번길 5 (풍암동),광주광역시 서구 쌍촌동 1344-6,35.1228893147,126.8647789770,2549.6,6,4,4,0,1,1995-05-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00061,서광,어린이공원,,광주광역시 서구 쌍촌동 1358,35.157198,126.864612,3067.2,9,2,5,0,3,1995-05-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00062,유촌,어린이공원,광주광역시 서구 계수로59번길 4-9 (쌍촌동),광주광역시 서구 쌍촌동 1326-1,35.1608646784,126.8577838215,3733.4,5,1,13,2,14,1995-05-23,광주광역시 서구,062-360-7512,2020-07-21
29140-00063,극락,어린이공원,,광주광역시 서구 유촌동 857,35.165255,126.858317,1517.4,0,2,22,0,7,1996-06-29,광주광역시 서구,062-360-7512,2020-07-21
29140-00064,유덕,어린이공원,,광주광역시 서구 유촌동 873,35.164624,126.862005,1643.3,1,2,6,1,0,1996-06-29,광주광역시 서구,062-360-7512,2020-07-21
29140-00065,새누리,어린이공원,,광주광역시 서구 풍암동 903,35.121169,126.863672,2187.1,4,7,6,0,6,1996-12-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00066,햇살,어린이공원,광주광역시 서구 계수로59번길 4-9 (쌍촌동),광주광역시 서구 금호동 862,35.1608646784,126.8577838215,2322,7,4,10,0,16,1996-12-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00067,화개,어린이공원,,광주광역시 서구 금호동 890,35.124099,126.856268,1877.1,5,1,13,0,8,1996-12-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00068,원마륵,어린이공원,,광주광역시 서구 치평동 1280-1,35.144901,126.841092,1500,4,4,8,0,0,1999-12-14,광주광역시 서구,062-360-7512,2020-07-21
29140-00069,백구,어린이공원,,광주광역시 서구 동천동 503,35.171703,126.858716,1601.9,6,5,3,0,14,2001-12-01,광주광역시 서구,062-360-7512,2020-07-21
29140-00070,자미,어린이공원,,광주광역시 서구 동천동 539,35.171997,126.858773,1505.5,3,6,2,0,8,2001-12-01,광주광역시 서구,062-360-7512,2020-07-21
29140-00071,화추,어린이공원,,광주광역시 서구 동천동 609,35.170924,126.8642121,1592.5,0,4,2,0,1,2001-12-01,광주광역시 서구,062-360-7512,2020-07-21
29140-00073,강나루,어린이공원,,광주광역시 서구 동천동 729,35.171703,126.858716,2215.1,0,5,2,0,0,2001-12-01,광주광역시 서구,062-360-7512,2020-07-21
29140-00074,경열,어린이공원,,광주광역시 서구 농성동 73-1,35.153118,126.891822,901,6,3,0,0,0,2011-04-15,광주광역시 서구,062-360-7512,2020-07-21
29140-00076,양1동 1,소공원,광주광역시 서구 유림로98번길 4 (동천동),광주광역시 서구 양동 320,35.170924,126.8642121,171,0,0,0,0,0,2007-05-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00077,양1동 2,소공원,,광주광역시 서구 양동 302-94,35.1542397038,126.899136,79,3,0,0,0,0,2007-05-30,광주광역시 서구,062-360-7512,2020-07-21
29140-00078,덕흥동 1,소공원,,광주광역시 서구 덕흥동 447,35.166008,126.837597,889,4,0,10,0,0,2006-08-16,광주광역시 서구,062-360-7512,2020-07-21
29140-00079,덕흥동 2,소공원,,광주광역시 서구 덕흥동 454,35.166619,126.837582,501,5,0,6,0,1,2006-08-16,광주광역시 서구,062-360-7512,2020-07-21
29140-00080,농성1동,소공원,,광주광역시 서구 농성동 30-10,35.156464,126.891501,280,0,0,3,0,0,2007-08-16,광주광역시 서구,062-360-7512,2020-07-21
29140-00081,유촌동,소공원,광주광역시 서구 경열로121번길 17 (양동),광주광역시 서구 유촌동 518,35.1542075,126.8991695,559,6,0,6,0,1,2011-04-15,광주광역시 서구,062-360-7512,2020-07-21
29140-00082,농성1동 2,소공원,,광주광역시 서구 농성동 74-12,35.154566,126.887912,1004,0,0,0,0,0,2011-04-15,광주광역시 서구,062-360-7512,2020-07-21
29140-00083,서창동 1,소공원,,광주광역시 서구 서창동 464-3,35.107357,126.822745,162,5,2,0,0,0,2006-08-16,광주광역시 서구,062-360-7512,2020-07-21
29140-00084,U대회1,소공원,,광주광역시 서구 화정동1618,35.107357,126.822745,252.4,0,0,3,0,0,2012-03-28,광주광역시 서구,062-360-7512,2020-07-21
29140-00072,행자,어린이공원,,광주광역시 서구 동천동 646,35.171703,126.858716,1742.2,0,6,2,0,5,2001-12-01,광주광역시 서구,062-360-7512,2020-07-21
29140-00075,U대회,어린이공원,,광주광역시 서구 화정동 1621,35.144733,126.885183,2077.6,3,3,11,0,1,2013-06-01,광주광역시 서구,062-360-7512,2020-07-21
