ID,행정구역코드,지역명,긴급대피장소명,주소,경도,위도,수용인원,길이,지구코드,지구명,높이
445,26440580,부산광역시 강서구 가덕도동,대항주차장,부산광역시 강서구 가덕도동 산 3-26,128.82674,35.00661,6053,200,194,대항지구,15
447,26710250,부산광역시 기장군 기장읍,공수마을뒷산(멍두산),부산광역시 기장군 기장읍 시랑리 690-3,129.20757,35.18556,400,550,195,공수지구,30.15
449,26710250,부산광역시 기장군 기장읍,국립수산과학원 정문 앞 도로,부산광역시 기장군 기장읍 시랑리 408-1,129.22249,35.19479,200,500,195,동암지구,13.91
450,26710250,부산광역시 기장군 기장읍,신암마을 뒤 신도로,부산광역시 기장군 기장읍 연화리 208-3,129.22486,35.21871,300,500,196,서암-신암지구,16.81
451,26710250,부산광역시 기장군 기장읍,서암마을 뒤 신도로,부산광역시 기장군 기장읍 연화리 392,129.22133,35.21426,500,200,196,서암-신암지구,28.2
453,26710250,부산광역시 기장군 기장읍,월전마을 야산 사거리,부산광역시 기장군 기장읍 죽성리 296-1,129.24339,35.23979,500,520,197,월전-죽성지구,15.82
454,26710250,부산광역시 기장군 기장읍,죽성국수당,부산광역시 기장군 기장읍 죽성리 257,129.24437,35.24108,500,400,197,월전-죽성지구,16.47
455,26710310,부산광역시 기장군 일광면,학리마을 뒷산,부산광역시 기장군 일광면 학리 176,129.24309,35.25594,300,300,198,학리-이동지구,22.6
456,26710310,부산광역시 기장군 일광면,이동마을 뒷산,부산광역시 기장군 일광면 이천리 221-4,129.24356,35.27371,400,500,198,학리-이동지구,14.1
457,26710310,부산광역시 기장군 일광면,한국유리 본관 앞 주차장,부산광역시 기장군 일광면 일광로 188,129.24123,35.26652,80,200,198,학리-이동지구,13.6
458,26710310,부산광역시 기장군 일광면,문동마을 뒷산,부산광역시 기장군 일광면 문동리 산25-3,129.25639,35.30808,500,600,199,칠암-문동지구,41.75
459,26710310,부산광역시 기장군 일광면,칠암초등학교,부산광역시 기장군 일광면 칠암리 134,129.25542,35.29852,300,200,199,칠암-문동지구,11.1
461,26710310,부산광역시 기장군 일광면,부경대수산과학연구소 앞 야산,부산광역시 기장군 일광면 동백리 241-3,129.25581,35.28543,650,320,199,동백지구,17.1
462,26710253,부산광역시 기장군 장안읍,고리스포츠문화센터,부산광역시 기장군 장안읍 길천리 85,129.28795,35.32947,1500,500,200,월내-길천지구,14.46
464,26710253,부산광역시 기장군 장안읍,기장문화예절학교,부산광역시 기장군 장안읍 월내리 579,129.26894,35.32583,900,550,200,월내-길천지구,34.06
465,26710253,부산광역시 기장군 장안읍,월내야산(삼막골),부산광역시 기장군 장안읍 월내리 286-2,129.27574,35.32891,700,400,200,월내-길천지구,26.26
466,26710253,부산광역시 기장군 장안읍,임랑야산(대덕사),부산광역시 기장군 장안읍 임랑리 97-10,129.26018,35.31855,350,400,200,임랑지구,11.4
467,26290590,부산광역시 남구 용호3동,동생말 언덕,부산광역시 남구 용호동 산5-4,129.1183,35.12763,300,600,201,섶자리지구,25
469,26380601,부산광역시 사하구 다대1동,몰운대공터,부산광역시 사하구 다대동 469-2,128.96931,35.04487,1000,600,202,다대1지구,10
471,26380602,부산광역시 사하구 다대2동,두송종합사회복지관앞주차장,부산광역시 사하구 다대2동 96-1,128.98442,35.06167,300,656,203,다대2지구,27
472,26140680,부산광역시 서구 암남동,송도 탑스빌 광장,부산광역시 서구 암남동 암남동 257-1,129.01841,35.0781,200,160,204,송도해수욕장지구,30
473,26140680,부산광역시 서구 암남동,송도해수욕장 공영주차장,부산광역시 서구 암남동 579,129.01575,35.07376,1000,360,204,송도해수욕장 지구,23
474,26140680,부산광역시 서구 암남동,송도공원(식당) 주차장 앞 공터,부산광역시 서구 암남동 618-8,129.01823,35.07066,250,100,204,송도해수욕장지구,35
475,26140680,부산광역시 서구 암남동,암남공원,부산광역시 서구 암남동 620-2,129.02016,35.0624,5000,210,205,암남공원지구,16
476,26140680,부산광역시 서구 암남동,송림공원,부산광역시 서구 암남동 124-1,129.02315,35.07686,1500,250,206,한진매립지 지구,11
477,26500770,부산광역시 수영구 광안2동,한바다중학교,부산광역시 수영구 광안2동 154-1,129.11809,35.15741,1500,445,207,광안지구,11
478,26500770,부산광역시 수영구 광안2동,광안초등학교,부산광역시 수영구 광안동 154,129.11678,35.15742,1500,450,207,광안지구,11
479,26500670,부산광역시 수영구 남천2동,수영구청,부산광역시 수영구 남천동 148-15,129.11288,35.14554,1000,410,208,남천지구,21
480,26500670,부산광역시 수영구 남천2동,코오롱하늘채아파트,부산광역시 수영구 남천2동 남천동 151,129.11231,35.14266,1000,370,208,남천지구,28
482,26500800,부산광역시 수영구 민락동,백산,부산광역시 수영구 민락동 327-2,129.12617,35.16278,1500,650,209,민락지구,40
483,26350560,부산광역시 해운대구 송정동,해운대청소년수련원일대,부산광역시 해운대구 송정동 산86-25,129.12687,35.19235,5000,460,210,동해안지구,35
484,26350560,부산광역시 해운대구 송정동,죽도공원,부산광역시 해운대구 송정동 산52-1,129.20587,35.1797,1000,100,210,동해안지구,12
485,26350510,부산광역시 해운대구 우1동,동백공원,부산광역시 해운대구 우동 710-1,129.15201,35.15333,5000,460,211,동해안지구,40
486,26350540,부산광역시 해운대구 중2동,달맞이고개,부산광역시 해운대구 중2동 974-1,129.18174,35.15679,1000,590,211,해운대해수욕장지구,26
622,26710250,부산광역시 기장군 기장읍,대항교회,부산광역시 기장군 기장읍 대변리 149,129.22852,35.22629,300,350,,대변지구,11
623,26710250,부산광역시 기장군 기장읍,힐튼호텔 앞 도로,부산광역시 기장군 기장읍 시랑리 704,129.22805,35.19824,500,300,,동암지구,20.7
728,26440580,부산광역시 강서구 가덕도동,마을진입로,부산광역시 강서구 가덕도동 382-2,128.82774,35.01425,463,80,194,대항지구,35
729,26440580,부산광역시 강서구 가덕도동,(구)외항포가는길,부산광역시 강서구 가덕도동 산 13-29,128.82662,35.0088,397,55,194,대항지구,25
730,26380601,부산광역시 사하구 다대1동,중현초등학교,부산광역시 사하구 다대1동 1550-4,128.96652,35.05072,1438,755,202,다대1지구,35
731,26380602,부산광역시 사하구 다대2동,BMC아파트 테니스장,부산광역시 사하구 다대2동 113-9,128.97864,35.06452,100,818,203,다대2지구,40
733,26140680,부산광역시 서구 암남동,송도초등학교,부산광역시 서구 암남동 313,129.01563,35.07843,1200,210,210,송정해수욕장지구,20
734,26140680,부산광역시 서구 암남동,암남동주민센터 주차장,부산광역시 서구 암남동 88-5,129.02127,35.07992,200,370,206,한진매립지지구,22
737,26500800,부산광역시 수영구 민락동,민락초등학교,부산광역시 수영구 민락동 12-1,129.12711,35.16095,2199,600,209,민락지구,29
738,26500800,부산광역시 수영구 민락동,민락동 행정복지센터,부산광역시 수영구 민락동 34-10,129.12541,35.15734,203,410,209,민락지구,12
